STATE,NAME,CENSUSAREA,Longitude,Latitude,Hospital Count,Bed Count,FIPS_plotly,POPESTIMATE2018,Median_Household_Income_2018
KY,Morgan,381.127,37.92364193087342,-83.26151656642058,1.0,25.0,21175,13345.0,35848.0
IA,Clinton,694.915,41.90217258426321,-90.52846107405435,3.0,265.0,19045,46518.0,51317.0
IA,Crawford,714.19,42.03718236989938,-95.38197179508703,1.0,25.0,19047,17158.0,54828.0
IA,Delaware,577.756,42.47104596875553,-91.36644920079682,1.0,25.0,19055,17069.0,61342.0
IA,Emmet,395.883,43.37783197459038,-94.67866751979197,1.0,25.0,19063,9253.0,51497.0
IA,Floyd,500.632,43.06000529735414,-92.78940097261389,1.0,25.0,19067,15761.0,53811.0
IA,Hamilton,576.751,42.38388144075235,-93.70194817288342,1.0,25.0,19079,14952.0,56738.0
IA,Henry,434.328,40.98760853905418,-91.54434433254761,2.0,152.0,19087,20067.0,55856.0
IA,Iowa,586.457,41.68630265340926,-92.06433729539573,1.0,25.0,19095,16141.0,64188.0
IA,Jones,575.621,42.121186088094866,-91.13139640704262,1.0,22.0,19105,20744.0,55405.0
IA,Linn,716.88,42.07923082242987,-91.59809485459657,2.0,994.0,19113,225909.0,64878.0
IA,Madison,561.006,41.330819035871606,-94.01554630760822,1.0,25.0,19121,16249.0,74794.0
IA,Marion,554.534,41.33445164773447,-93.0993487326128,3.0,50.0,19125,33407.0,63491.0
IA,Montgomery,424.097,41.030176488197284,-95.15643535442703,1.0,25.0,19137,10003.0,49966.0
IA,O'Brien,573.035,43.083106732844435,-95.62474481577264,2.0,50.0,19141,13840.0,53147.0
IA,Pocahontas,577.241,42.734201329258475,-94.67862564436388,1.0,25.0,19151,6740.0,55865.0
IA,Sac,575.012,42.386240268740515,-95.10548266260925,1.0,25.0,19161,9719.0,56698.0
IA,Story,572.818,42.03621212545704,-93.46499004753208,3.0,254.0,19169,98105.0,57464.0
IA,Union,423.645,41.02772779654847,-94.2423484698293,1.0,25.0,19175,12359.0,49887.0
IA,Warren,569.827,41.33415478879023,-93.56044628898059,,,19181,51056.0,78192.0
IA,Worth,400.123,43.37747958373234,-93.26085290530163,,,19195,7453.0,58587.0
KS,Atchison,431.172,39.53116203766985,-95.31553819491309,1.0,25.0,20005,16193.0,49332.0
KS,Butler,1429.863,37.78132522315689,-96.83884196778341,2.0,126.0,20015,66765.0,65953.0
MN,Lac qui Parle,765.021,44.997406526925204,-96.16851989185076,2.0,32.0,27073,6658.0,52445.0
MN,Lyon,714.559,44.41370573050129,-95.840477316,2.0,74.0,27083,25629.0,57690.0
MN,McLeod,491.471,44.82365696818181,-94.27276563546795,2.0,115.0,27085,35873.0,61959.0
MN,Meeker,608.178,45.12330818393621,-94.52917971023733,1.0,35.0,27093,23141.0,66557.0
MN,Nicollet,448.494,44.351779049297534,-94.24660299322314,1.0,17.0,27103,34220.0,66209.0
MN,Pennington,616.57,48.06653796054997,-96.0340010185183,2.0,61.0,27113,14178.0,57494.0
MN,Pope,669.713,45.58606666884577,-95.44451209260701,1.0,34.0,27121,11097.0,60975.0
MN,Redwood,878.572,44.40236237350526,-95.25413650100374,1.0,25.0,27127,15249.0,56760.0
